date,no2,o3,pm2.5,pm10,AQI_PM25,AQI_PM10,AQI_NO2,AQI_O3,AQI_day_max,value
2015-03-01,70.60854973821989,0.039377771028037384,25.403894736842105,39.9,79,112,68,33,112,0.0
2015-03-02,98.67974345549739,0.03646349065420561,25.734526315789473,50.3,80,137,98,31,137,0.0
2015-03-03,111.87724607329844,0.0356474906542056,26.065157894736842,32.5,80,94,103,30,103,0.0
2015-03-04,83.66311518324608,0.033828981308411214,26.39578947368421,34.095,81,97,82,28,97,0.0
2015-03-05,85.73431937172776,0.03595057943925234,28.217,52.4,85,142,84,30,142,0.0
2015-03-06,96.56673298429321,0.03811880373831776,28.412,57.0,85,152,96,32,152,0.0
2015-03-07,84.57956020942409,0.03760588785046729,38.531,48.1,108,132,83,31,132,0.0
2015-03-08,80.0771780104712,0.034901434579439256,27.718315789473685,35.2,84,100,79,29,100,0.0
2015-03-09,87.99327225130891,0.03296635514018691,28.048947368421054,43.9,84,121,86,27,121,0.0
2015-03-10,68.75862827225131,0.033791443925233644,28.379578947368422,45.333,85,125,66,28,125,0.0
2015-03-11,91.40949214659686,0.03441183644859813,70.4,73.3,159,160,90,29,160,0.0
2015-03-12,97.31395811518325,0.033316065420560745,70.0,71.1,158,159,97,28,159,0.0
2015-03-13,81.47174869109948,0.03394555140186916,45.9,52.7,126,143,80,28,143,0.0
2015-03-14,32.10171204188482,0.03445846728971962,33.6,45.7,96,126,30,29,126,0.0
2015-03-15,29.23471727748691,0.028971845794392524,36.7,44.5,104,123,27,24,123,0.0
2015-03-16,66.384277486911,0.018797584112149532,57.6,67.5,152,157,64,15,157,0.0
2015-03-17,53.06661780104712,0.01565676411335779,89.4,90.9,169,169,50,13,169,0.0
2015-03-18,39.04653926701571,0.03268658411214954,64.549,68.8,156,158,37,27,158,0.0
2015-03-19,45.46943979057592,0.0377380046728972,47.6,60.2,131,153,42,31,153,0.0
2015-03-20,106.60985863874346,0.04096314018691589,63.926,80.7,155,164,102,34,164,0.0
2015-03-21,31.412560209424086,0.03506463551401869,17.4,24.1,62,76,29,30,76,0.0
2015-03-22,61.64458115183247,0.0354687476635514,17.806,48.9,63,134,58,30,134,0.0
2015-03-23,88.06586910994766,0.03713960280373832,34.8,43.9,99,121,87,31,121,0.0
2015-03-24,83.64684293193717,0.03069135046728972,24.8,33.2,78,95,82,25,95,0.0
2015-03-25,80.05539790575916,0.03291972429906542,41.839,55.8,117,151,79,27,151,0.0
2015-03-26,79.8616439790576,0.0371773738317757,22.3,31.9,72,92,78,31,92,0.0
2015-03-27,108.71135602094242,0.038864859813084116,27.633,38.4,84,108,102,32,108,0.0
2015-03-28,58.04012041884817,0.035973892523364484,19.46,30.0,66,89,55,30,89,0.0
2015-03-29,52.11587434554974,0.04035697196261682,13.914,25.2,55,78,49,34,78,0.0
2015-03-30,96.643832460733,0.03684747663551402,21.406,35.4,71,100,96,31,100,0.0
2015-03-31,38.27703664921466,0.04010144859813084,11.5,24.4,48,77,36,34,77,0.0
2015-04-01,81.513554973822,0.035748518691588786,19.849,33.3,67,95,80,30,95,0.0
2015-04-02,73.56090575916231,0.03317594859813085,22.282,37.0,72,105,71,28,105,0.0
2015-04-03,50.062439790575915,0.026671504672897195,24.389,29.8,77,88,47,22,88,0.0
2015-04-04,37.67574869109948,0.030122014018691592,28.6,32.9,86,95,35,25,95,0.0
2015-04-05,55.378638743455504,0.03648680373831776,24.2,29.5,76,88,52,31,88,0.0
2015-04-06,60.513350785340315,0.03667331775700935,34.9,40.4,99,113,57,31,113,0.0
2015-04-07,76.06693193717277,0.03671551869158878,39.212,76.4,110,162,74,31,162,0.0
2015-04-08,79.56726178010472,0.033642467289719626,69.4,86.4,158,167,78,28,167,0.0
2015-04-09,94.49827748691101,0.0370235,67.787,78.1,157,163,94,31,163,0.0
2015-04-10,98.35356544502618,0.050242214953271025,75.1,93.8,161,171,98,42,171,0.0
2015-04-11,73.22521989528796,0.043108051401869164,23.7,34.0,75,97,71,36,97,0.0
2015-04-12,69.11635078534032,0.043355182242990654,17.4,38.4,62,108,67,36,108,0.0
2015-04-13,79.62533507853404,0.03562417757009346,25.1,36.7,78,104,78,30,104,0.0
2015-04-14,94.52055497382199,0.04564930841121496,30.8,40.7,90,114,94,38,114,0.0
2015-04-15,111.92255497382199,0.049577056074766354,37.6,51.7,106,141,103,42,141,0.0
2015-04-16,79.0368167539267,0.03602051869158879,26.1,36.4,80,103,78,31,103,0.0
2015-04-17,64.30480628272252,0.03897979906542056,11.4,23.7,48,75,62,32,75,0.0
2015-04-18,57.568000000000005,0.043684845794392524,13.3,28.2,54,85,54,36,85,0.0
2015-04-19,41.05541884816754,0.04087058411214953,15.429,29.9,58,88,39,34,88,0.0
2015-04-20,83.75523560209425,0.05159980373831776,28.013,37.7,84,106,82,43,106,0.0
2015-04-21,82.89610994764398,0.049598971962616825,22.1,39.6,72,111,81,42,111,0.0
2015-04-22,87.4255340314136,0.03871611214953271,20.1,29.5,68,88,86,32,88,0.0
2015-04-23,100.01023036649215,0.039243948598130844,29.9,40.6,88,114,100,33,114,0.0
2015-04-24,117.27930890052356,0.042571827102803744,65.6,86.5,156,167,104,36,167,0.0
2015-04-25,78.12962827225131,0.039447714953271026,25.6,32.2,79,93,77,33,93,0.0
2015-04-26,58.27684816753927,0.03491285981308411,19.5,24.9,67,78,55,29,78,0.0
2015-04-27,76.62466492146596,0.026858018691588784,17.8,36.9,63,104,74,22,104,0.0
2015-04-28,76.07394240837696,0.03371241121495327,19.2,31.9,66,92,74,28,92,0.0
2015-04-29,100.29961256544503,0.03699971962616822,24.1,35.9,76,102,100,31,102,0.0
2015-04-30,96.20675916230367,0.036034042056074765,18.3,30.0,64,89,96,31,96,0.0
2015-05-01,71.98810471204189,0.0380124906542056,15.9,26.4,59,81,69,32,81,0.0
2015-05-02,57.381759162303666,0.03525114953271028,26.4,40.2,81,113,54,30,113,0.0
2015-05-03,56.39338219895288,0.041219598130841126,27.5,39.5,83,111,53,35,111,0.0
2015-05-04,60.417476439790576,0.041849084112149534,15.7,25.2,58,78,57,35,78,0.0
2015-05-05,81.08374345549738,0.04266508411214953,17.5,45.6,62,126,80,36,126,0.0
2015-05-06,79.2105445026178,0.03950988785046729,21.1,195.985,70,246,78,33,246,0.0
2015-05-07,110.35325130890052,0.04054115420560748,20.4,33.4,68,96,103,34,103,0.0
